panel	gid	tpm_Ar	tpm_As	tpm_Br	tpm_Bs	tpm_Hr	tpm_Hs	SS_Ar_As	SS_Br_Bs	SS_As_Bs	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms	tag	link
conserved (1954)	ENSRNA049440843	6.932818633505306	6.315966313156063	7.293915515219456	11.673943578683001	4.262065495741664	2.0029539414781588	0.007800224466891135	0.014461006409563635	0.007066617592933441	0.009090909090909111	0.006072874493927126	0.005037783375314861	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049440843.json
conserved (1954)	ENSRNA049444035	4.276498476040206	2.055180943556069	2.2349384168876663	3.713331979997783	1.8404373731611732	2.0210620459807993	0.005852172518839184	0.007246376811594203	0.012345679012345678	0.017066085693536674	0.016833148353681094	0.02171945701357466	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049444035.json
conserved (1954)	ENSRNA049450181	15.469632454570856	7.960088371067566	7.227166116526697	5.94054476835531	38.16485921186854	17.53351669778866	0.03162182644941265	0.01201923076923077	0.012102122015915116	0.036869168104521295	0.0352252925068459	0.027152103559870553	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049450181.json
conserved (1954)	ENSRNA049459156	6.946539849201958	8.562289237058563	1.6332912557818045	1.6455784898593973	4.262065495741664	6.092493477459988	0.02965737578495098	0.07735849056603773	0.06865203761755483	0.049066091954023026	0.08352272727272728	0.05575980392156864	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049459156.json
conserved (1954)	ENSRNA049463761	19.54208434509223	17.897627348348493	18.6384427146047	14.550003088362264	10.848893989160599	7.701528759934984	0.06712459837459839	0.05920402361688171	0.05131684491978605	0.016017645971914265	0.04635102821616445	0.017335570181098478	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049463761.json
conserved (1954)	ENSRNA049463828	10.828701355078131	7.1437873771431235	29.647225258118066	15.331964341363646	44.654822580384256	1.7054399263583708	0.0628960411569107	0.030575458473040877	0.04605689523422616	0.10500610500610508	0.05976655885248211	0.07140605296343001	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049463828.json
conserved (1954)	ENSRNA049466676	4.565462334384107	3.770477751296455	17.079680667518822	20.651007794779943	6.296233118709276	9.538070486980073	0.020476190476190474	0.012238964892236094	0.07138763814981569	0.06597744360902241	0.016814960036193635	0.023458159174272797	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049466676.json
conserved (1954)	ENSRNA049468930	1.4964399569267635	1.7268271453916038	1.744884552289844	1.2819567040007258	4.0683352459352244	2.2567917345620345	0.03797468354430387	0.0465116279069767	0.04651162790697681	0.0563063063063063	0.0465116279069767	0.049435028248587566	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049468930.json
conserved (1954)	ENSRNA049470569	2.1705380362836943	1.7806314248134745	2.5245804361553534	2.0507114413291694	0.2905953747096589	1.5736517341496656	0.08207070707070713	0.041666666666666664	0.04040404040404033	0.16681818181818184	0.20722222222222217	0.1911688311688312	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049470569.json
conserved (1954)	ENSRNA049470937	36.28180522881185	3.805283413655377	26.716647843498535	3.7181497368731833	31.190570218836726	7.133025641249048	0.09869745988436301	0.025481102404179338	0.06724581724581724	0.03302277432712214	0.04716020368194282	0.089648033126294	conserved	https://s3.msi.umn.edu/zhoup-igv/index.html?sessionURL=https://s3.msi.umn.edu/zhoup-igv-data/sessions/cage/ENSRNA049470937.json
