pnl	gid	SS_Ar_As	SS_Ar_Br	SS_Ar_Bs	SS_As_Bs	SS_Bhusk_Bs	SS_Br_Bs	SS_Bstem_Bs	SS_Hr_Ar	SS_Hr_Br	SS_Hr_Mr	SS_Hs_As	SS_Hs_Bs	SS_Hs_Ms
stable (633)	Zm00001d052025	0.048315926220238184	0.00928679329424159	0.01950888909608135	0.06520507077981041	0.09720594805915517	0.026175937853813825	0.04948252762693125	0.2471982492770044	0.23791145598276286	0.2422736854650687	0.09248496211233495	0.043286568990367154	0.05265602492871213
stable (633)	Zm00001d029174	0.021230251874720184	0.04815410565225993	0.022996055071396224	0.016759231780217813	0.03341476828055926	0.025158050580863706	0.023863822098597033	0.03146105730170663	0.03215783654232221	0.034293599671489705	0.016068124762503935	0.012248798526377086	0.012939280040432896
stable (633)	Zm00001d052087	0.08123451692815863	0.0346039681299797	0.06375599557250035	0.06322188449848024	0.07022456443937541	0.06048408176067747	0.03574650325755154	0.13294797687861268	0.14864864864864868	0.12237330037082829	0.13071428571428576	0.10893617021276597	0.09446808510638298
stable (633)	Zm00001d052108	0.04019565484579023	0.03938200368849643	0.021530647791870517	0.04294532627865969	0.046549753567387296	0.043761250204549226	0.030355132745792494	0.3093914778395325	0.29835542464408443	0.30809294871794873	0.13170045379783205	0.16027881814398673	0.16323375234303023
stable (633)	Zm00001d052198	0.04676464974231721	0.11879160266257043	0.08450326867431142	0.07940002752167333	0.08504394174942097	0.08194905869324476	0.09754368520871314	0.30184331797235026	0.283068783068783	0.32105263157894737	0.08797588478285139	0.08644142167617375	0.055574614065180106
stable (633)	Zm00001d052264	0.1608851674641148	0.09037433155080213	0.07799043062200955	0.0894736842105263	0.0392636628640944	0.031578947368421054	0.0986514328525941	NA	NA	NA	NA	NA	NA
stable (633)	Zm00001d052294	0.07829012493501622	0.0796410707473189	0.061658499842394604	0.04840187780438678	0.08595066646238698	0.0497437443473018	0.05848547860064435	0.20405380582990693	0.14314516129032262	0.20818350791251936	0.06511871723712612	0.039065420560747625	0.05318734793187347
stable (633)	Zm00001d052318	0.046172194457064934	0.07363591931040611	0.053372587393710355	0.07323649007012789	0.09690990748915579	0.05962631257420143	0.06805140466228335	0.0876485568760611	0.14180078294910825	0.11943652234033357	0.2293762575452716	0.2799931688156434	0.2749048772051193
stable (633)	Zm00001d052323	0.08434287470202621	0.05275652764650284	0.06114215994962216	0.0475827346337099	0.07516509391774655	0.02422945246246666	0.051725308309220834	0.08697660098522167	0.07576801661281161	0.07932893391579139	NA	NA	NA
stable (633)	Zm00001d052391	0.07150734195042772	0.04796201118584713	0.039858929381381206	0.062042583038771415	0.06838964877387525	0.046070188697069206	0.08272565035668854	0.1865219821162444	0.15458650190114068	0.17149518021793797	0.04150923370834218	0.07049689440993788	0.03665297741273097
stable (633)	Zm00001d052530	0.03586037567070138	0.012127811478554799	0.04420482713266748	0.07641587034897966	0.050090139191682044	0.03446474673648229	0.05126700801213675	0.14231661285188052	0.15273904089438076	0.1482869704398565	0.1939252336448598	0.15621098626716606	0.16040009640877326
stable (633)	Zm00001d052595	0.0726173526589659	0.10555555555555551	0.057317294011124016	0.020510457276622807	0.08183800871686339	0.048238261544431546	0.09715323022917144	0.711111111111111	0.688562091503268	0.7088122605363985	0.0601710459493084	0.07544839582423421	0.06058421649732644
stable (633)	Zm00001d052651	0.016161617134289735	0.013176359978707681	0.026776064756611307	0.018414018414018414	0.02411680051993874	0.022431475460448245	0.03429840061619319	0.09356183418249195	0.08340649692712909	0.09033733562035454	0.06021937056419822	0.05323986358469118	0.06003510220937435
stable (633)	Zm00001d052673	0.019541621075193895	0.03466843786078575	0.030789691007909757	0.04880997650064768	0.03267850616099274	0.010561346257513926	0.0225706137408062	0.06715129486597003	0.10181973272675579	0.07921111386752669	0.025704529939496457	0.029943463342161452	0.018281881813217875
stable (633)	Zm00001d052733	0.06777916840495063	0.06396674824779225	0.05953587108602306	0.055342136854741875	0.08503401360544216	0.06633081444164568	0.0702348592714042	0.9456264775413712	0.9672544080604534	0.9560723514211886	0.23718728870858688	0.2528735632183908	0.2653113741636644
stable (633)	Zm00001d052741	0.06967061923583663	0.07495765104460755	0.07893398035455726	0.041164116411641166	0.025204486372621536	0.08238027884421104	0.020748067562765506	0.7262845849802372	0.7448979591836735	0.7361751152073732	0.11722943722943721	0.14115983026874115	0.14584290307762976
stable (633)	Zm00001d052758	0.0726213383423817	0.022260006355048545	0.030382908569877378	0.08803679322547249	0.03830183632745005	0.03178079265035788	0.08916847839003529	0.13173842210669406	0.13391042035543316	0.12567353011039017	0.11528301886792454	0.0387960687960688	0.0876875699888018
stable (633)	Zm00001d052799	0.01944098273099519	0.08654848800834203	0.022541863460712755	0.034576757532281205	0.07599200817767861	0.08823529411764705	0.06845981916082493	NA	NA	NA	0.24085365853658536	0.22794117647058826	0.2347122302158273
stable (633)	Zm00001d052841	0.04394472419581066	0.08183985609446075	0.07844898111151165	0.03728534200503371	0.03910468988894551	0.02472262531750614	0.03960562536339931	0.12880506817868412	0.0624443088190418	0.0826353555497472	0.04578849083493057	0.053647367820029726	0.05299139276449379
stable (633)	Zm00001d052862	0.008316308734864714	0.014268178629880758	0.042597890219917764	0.03428158148505305	0.037244794825146546	0.0364253393665159	0.03604812502282105	0.11386485854570956	0.1076923076923077	0.11197746035906168	0.016479723899913718	0.044117647058823484	0.01734717960821336
stable (633)	Zm00001d053003	0.07654590523671304	0.04122577513135453	0.05840738098802615	0.06694630735425057	0.08672557070893588	0.0530691100398978	0.05545612400756816	0.2518695165753989	0.21307750568038375	0.22409416841170124	0.046977801322692546	0.07327780076642139	0.046110823662749115
stable (633)	Zm00001d053007	0.09552758032961316	0.06688963210702342	0.08842174511093831	0.009867385571046113	0.06484213717038716	0.04358445314428804	0.03259678942238248	NA	NA	NA	0.06492373660537201	0.06103166403898003	0.06512914441588198
stable (633)	Zm00001d027011	0.044783345436940195	0.08753122870769926	0.06107634543178973	0.06593117940635682	0.09342245653674763	0.04222459541608474	0.05907921865368673	0.12324929971988796	0.16988416988416982	0.14678899082568797	0.05103949548393995	0.04365846919038409	0.040859725070251277
stable (633)	Zm00001d053572	0.031634126354401035	0.032465798447064625	0.025840435311948715	0.036810391755673515	0.0493029688654187	0.03545384478567622	0.04989294138994732	0.14735542833131993	0.13435267577390653	0.1669174707149391	0.08728118065584163	0.08241943080131879	0.10335054155278876
stable (633)	Zm00001d053627	0.049702380952381046	0.04021164021164021	0.08806193806193804	0.0848873348873349	0.04539784539784539	0.053405853405853396	0.039990285760543996	0.21190476190476182	0.21851851851851847	0.23765432098765432	0.1532441956882255	0.16720592839995826	0.11660946603879
stable (633)	Zm00001d053636	0.022523688909549883	0.08034346198108704	0.06249249022873106	0.04446291042664868	0.02368312757926809	0.027658477984152927	0.0313460953049284	0.17859463066036907	0.2240069522973011	0.20901955022462046	0.07965010308662268	0.038010400465036044	0.06557276176802379
stable (633)	Zm00001d053671	0.020253938444949538	0.04842931937172775	0.05641307155773701	0.07441628577251157	0.06559532904070714	0.04658617373651024	0.05114171542742971	0.30985140341221795	0.26929205554290914	0.3059850827724213	0.06606197753790537	0.08718340756498033	0.07766633340858514
